queue,seq,latency_ns
MutexQueue,603,8800
MutexQueue,604,3867
MutexQueue,605,3785
MutexQueue,606,1271
MutexQueue,607,2018
MutexQueue,608,1776
MutexQueue,609,26150
MutexQueue,610,3950
MutexQueue,611,3918
MutexQueue,612,3819
MutexQueue,613,3782
MutexQueue,614,1462
MutexQueue,615,6035
MutexQueue,616,1126
MutexQueue,617,60032
MutexQueue,618,55106
MutexQueue,619,50286
MutexQueue,620,31144
MutexQueue,621,31095
MutexQueue,622,30970
MutexQueue,623,31219
MutexQueue,624,26184
MutexQueue,625,21345
MutexQueue,626,16337
MutexQueue,627,11471
MutexQueue,628,6493
MutexQueue,629,1599
MutexQueue,630,8167
MutexQueue,631,3340
MutexQueue,632,6075
MutexQueue,633,1203
MutexQueue,634,6629
MutexQueue,635,1798
MutexQueue,636,6729
MutexQueue,637,1863
MutexQueue,638,5865
MutexQueue,639,1431
MutexQueue,640,6471
MutexQueue,641,1707
MutexQueue,642,6635
MutexQueue,643,1788
MutexQueue,644,5836
MutexQueue,645,1010
MutexQueue,646,12109
MutexQueue,647,7255
MutexQueue,648,2276
MutexQueue,649,5778
MutexQueue,650,805
MutexQueue,651,11674
MutexQueue,652,6730
MutexQueue,653,1847
MutexQueue,654,7236
MutexQueue,655,2754
MutexQueue,656,6558
MutexQueue,657,1682
MutexQueue,658,6735
MutexQueue,659,1902
MutexQueue,660,6767
MutexQueue,661,1920
MutexQueue,662,6412
MutexQueue,663,1540
MutexQueue,664,12641
MutexQueue,665,7794
MutexQueue,666,2802
MutexQueue,667,7558
MutexQueue,668,2603
MutexQueue,669,6012
MutexQueue,670,1030
MutexQueue,671,7263
MutexQueue,672,2265
MutexQueue,673,5437
MutexQueue,674,484
MutexQueue,675,11339
MutexQueue,676,6383
MutexQueue,677,1495
MutexQueue,678,6717
MutexQueue,679,1853
MutexQueue,680,6576
MutexQueue,681,1717
MutexQueue,682,5758
MutexQueue,683,899
MutexQueue,684,11682
MutexQueue,685,6829
MutexQueue,686,1807
MutexQueue,687,8008
MutexQueue,688,3024
MutexQueue,689,6292
MutexQueue,690,1332
MutexQueue,691,6730
MutexQueue,692,1764
MutexQueue,693,7001
MutexQueue,694,1662
MutexQueue,695,5837
MutexQueue,696,879
MutexQueue,697,11721
MutexQueue,698,6766
MutexQueue,699,1882
MutexQueue,700,5465
MutexQueue,701,602
MutexQueue,702,11217
MutexQueue,703,6744
MutexQueue,704,1764
MutexQueue,705,7327
MutexQueue,706,2365
MutexQueue,707,6285
MutexQueue,708,1320
MutexQueue,709,6390
MutexQueue,710,1414
MutexQueue,711,6286
MutexQueue,712,1338
MutexQueue,713,11747
MutexQueue,714,6794
MutexQueue,715,1913
MutexQueue,716,5454
MutexQueue,717,609
MutexQueue,718,6759
